time	V(gatedmirrorout)
8.455271017428959e-09	-2.009011e+00
8.469805194642136e-09	-1.748991e+00
8.487041755173708e-09	-1.437494e+00
8.505924128719040e-09	-1.097812e+00
8.524005807091475e-09	-7.782191e-01
8.546649454209455e-09	-3.887527e-01
8.568482333517058e-09	-2.633406e-02
8.588938805311359e-09	2.979657e-01
8.613023926729387e-09	6.529998e-01
8.641192241263196e-09	1.022274e+00
8.667203328556585e-09	1.315862e+00
8.694072967327744e-09	1.570825e+00
8.717626239966031e-09	1.751872e+00
8.742882234943077e-09	1.897857e+00
8.766623930209350e-09	1.988664e+00
8.792987257639617e-09	2.040371e+00
8.820606865105471e-09	2.044067e+00
8.839860755798939e-09	2.017443e+00
8.861327634208859e-09	1.960098e+00
8.875463970950768e-09	1.907257e+00
8.890747858085495e-09	1.838347e+00
8.907379074948377e-09	1.751598e+00
8.917659238707528e-09	1.692668e+00
8.926962058530161e-09	1.636233e+00
8.938523781291019e-09	1.562218e+00
8.950645237122186e-09	1.480210e+00
8.963001316998166e-09	1.392302e+00
8.975427616646954e-09	1.300084e+00
8.990146575564109e-09	1.187127e+00
9.005833579924348e-09	1.064013e+00
9.024031455110070e-09	9.199671e-01
9.042707947975111e-09	7.726129e-01
9.063210488066010e-09	6.129294e-01
9.087385237893757e-09	4.297660e-01
9.109354345186880e-09	2.712179e-01
9.133021421725965e-09	1.129986e-01
9.156682473624602e-09	-2.926268e-02
9.183025535238973e-09	-1.674831e-01
9.211528528914208e-09	-2.920017e-01
9.235260109306816e-09	-3.743069e-01
9.260535689859628e-09	-4.390831e-01
9.282022937197315e-09	-4.757109e-01
9.306285697025453e-09	-4.982477e-01
9.323681878370376e-09	-5.029829e-01
9.338137448634277e-09	-4.999800e-01
9.355504168235132e-09	-4.882322e-01
9.368897298640044e-09	-4.733213e-01
9.382322354833286e-09	-4.536789e-01
9.398859607339463e-09	-4.238616e-01
9.419097685066782e-09	-3.803553e-01
9.434948352264176e-09	-3.417558e-01
9.453252588410124e-09	-2.930409e-01
9.473054891574111e-09	-2.361425e-01
9.492767529774278e-09	-1.763574e-01
9.515914149669937e-09	-1.043824e-01
9.542773758455567e-09	-2.158049e-02
9.572070633455569e-09	6.480041e-02
9.598470219811457e-09	1.370958e-01
9.627767094811459e-09	2.084984e-01
9.655194731032614e-09	2.644033e-01
9.684491606032615e-09	3.105469e-01
9.713788481032617e-09	3.422139e-01
9.743085356032618e-09	3.592944e-01
9.770615322832749e-09	3.617971e-01
9.796873258803473e-09	3.521769e-01
